index,id,first_name,last_name,email,shoe_type,shoe_material,shoe_color,price
0,97916,Douglas,Perez,DouglasPerez28@gmail.com,stilettos,fabric,brown,90
1,67691,Tiffany,O'neill,TiffanyO'neill51@gmail.com,wedges,leather,navy,94
2,72818,Susan,Rivas,Susan.Rivas@gmail.com,sandals,faux-leather,white,96
3,28080,Angela,Hopper,AngelaHopper62@outlook.com,stilettos,leather,red,96
4,89958,Thomas,Benjamin,TBenjamin1981@gmail.com,sandals,faux-leather,navy,97
5,11853,Jonathan,Park,JP1285@gmail.com,wedges,fabric,white,98
6,73682,Christine,Adkins,ChristineAdkins83@gmail.com,stilettos,faux-leather,red,99
7,52634,Cynthia,Tanner,CTanner1976@gmail.com,stilettos,faux-leather,navy,99
8,33847,Walter,Fitzgerald,WalterFitzgerald65@gmail.com,ballet flats,leather,white,101
9,25964,Carl,Garcia,CarlGarcia53@gmail.com,wedges,faux-leather,white,101
10,42625,Louis,Bradford,LB4075@gmail.com,sandals,faux-leather,red,104
11,34994,Karen,Hobbs,KHobbs1995@outlook.com,stilettos,fabric,black,107
12,51530,Alexander,Franks,AlexanderFranks54@gmail.com,stilettos,fabric,white,113
13,60605,Jacqueline,Petty,JacquelinePetty33@gmail.com,wedges,leather,navy,113
14,76001,Anna,Garrett,AnnaGarrett50@outlook.com,ballet flats,leather,red,116
15,47829,Martha,Moreno,MM5252@gmail.com,ballet flats,fabric,brown,117
16,34376,Kenneth,Hess,KHess1987@gmail.com,stilettos,fabric,navy,119
17,83849,Ashley,Steele,ASteele1996@yahoo.com,ballet flats,leather,red,119
18,27329,Steven,Bryant,Steven.Bryant@gmail.com,ballet flats,faux-leather,red,121
19,34854,Kenneth,Cash,KennethCash47@outlook.com,stilettos,faux-leather,black,121
20,51997,Kyle,Dodson,Kyle.Dodson@gmail.com,stilettos,faux-leather,black,126
21,32398,Patricia,Carter,PCarter1994@gmail.com,sandals,leather,navy,128
22,16094,Donna,Slater,DonnaSlater28@gmail.com,wedges,fabric,brown,130
23,97706,Jean,Grimes,Jean.Grimes@outlook.com,sandals,faux-leather,black,130
24,77660,Bruce,White,Bruce.White@gmail.com,wedges,faux-leather,white,131
25,68636,Eugene,Suarez,EugeneSuarez26@yahoo.com,stilettos,faux-leather,red,136
26,49991,Brian,Parrish,BP4483@gmail.com,stilettos,faux-leather,red,136
27,33738,Peter,Weber,PW3481@gmail.com,ballet flats,leather,navy,137
28,14646,Rebecca,Byrd,RebeccaByrd96@hotmail.com,ballet flats,faux-leather,brown,137
29,72039,Wayne,Booth,WayneBooth94@gmail.com,sandals,fabric,red,138
30,45896,Jonathan,Horton,JH4273@gmail.com,sandals,faux-leather,white,139
31,78272,Jeremy,Frye,Jeremy.Frye@gmail.com,ballet flats,fabric,white,140
32,63778,Austin,Sharpe,Austin.Sharpe@gmail.com,stilettos,fabric,red,142
33,94157,Daniel,Nelson,DanielNelson43@hotmail.com,sandals,fabric,red,143
34,51738,Noah,Buchanan,NB2260@outlook.com,stilettos,leather,navy,148
35,45325,Joseph,Rollins,JosephRollins51@hotmail.com,stilettos,faux-leather,red,149
36,78994,Billy,Shields,BillyShields50@outlook.com,stilettos,faux-leather,brown,153
37,72282,Betty,Duran,BDuran1992@hotmail.com,sandals,faux-leather,navy,162
38,79129,David,Schroeder,DS5663@gmail.com,sandals,fabric,navy,164
39,67770,Timothy,Booker,TB7698@outlook.com,sandals,fabric,red,165
40,53574,Christine,Craft,ChristineCraft49@gmail.com,ballet flats,faux-leather,navy,166
41,78499,Lori,West,LW6742@gmail.com,ballet flats,leather,red,166
42,84147,Nathan,Hartman,Nathan.Hartman@gmail.com,sandals,faux-leather,red,173
43,49223,Andrew,Mills,Andrew.Mills@gmail.com,sandals,faux-leather,white,177
44,72971,Alan,Guthrie,AlanGuthrie41@hotmail.com,ballet flats,leather,red,179
45,79527,Albert,Johns,AJohns1973@gmail.com,ballet flats,faux-leather,navy,180
46,49212,Sandra,Hood,SHood1970@gmail.com,sandals,fabric,white,181
47,96090,Bobby,Wyatt,Bobby.Wyatt@outlook.com,sandals,faux-leather,red,189
48,95846,William,Whitney,WWhitney1997@outlook.com,wedges,faux-leather,red,189
49,34182,Justin,Maddox,JM3330@gmail.com,stilettos,faux-leather,navy,191
50,33728,Maria,Avery,MA2484@gmail.com,wedges,faux-leather,white,195
51,89390,Virginia,Bender,VB4991@outlook.com,sandals,leather,red,195
52,63429,Gregory,Head,GregoryHead36@outlook.com,stilettos,leather,red,196
53,84051,Catherine,Cote,CCote1972@gmail.com,sandals,fabric,red,199
54,30364,Hannah,Espinoza,Hannah.Espinoza@gmail.com,wedges,faux-leather,navy,200
55,27538,Carol,Ferguson,CF5797@gmail.com,ballet flats,leather,brown,201
56,65254,Betty,Daugherty,BD7840@gmail.com,stilettos,fabric,brown,205
57,44917,Christopher,Morton,ChristopherMorton1@gmail.com,wedges,fabric,brown,209
58,20071,Doris,Mann,DorisMann35@gmail.com,wedges,faux-leather,brown,209
59,88699,Noah,Rivera,Noah.Rivera@gmail.com,stilettos,leather,red,209
60,95323,Alice,Kinney,Alice.Kinney@gmail.com,wedges,leather,white,210
61,90334,Joshua,Huff,JHuff1984@gmail.com,stilettos,fabric,brown,211
62,94939,Rebecca,Russo,RebeccaRusso43@gmail.com,ballet flats,fabric,brown,218
63,82690,Tyler,Combs,TC2777@gmail.com,ballet flats,faux-leather,navy,221
64,50410,Julie,Boone,Julie.Boone@hotmail.com,sandals,fabric,navy,221
65,23323,Russell,Galloway,Russell.Galloway@gmail.com,ballet flats,leather,white,224
66,78159,Kayla,Dyer,KDyer1997@gmail.com,sandals,leather,white,225
67,66767,Ann,Crosby,AC7606@gmail.com,stilettos,faux-leather,white,227
68,19878,Theresa,Lee,TheresaLee91@gmail.com,wedges,fabric,navy,228
69,26747,Sarah,Rutledge,SarahRutledge64@gmail.com,wedges,faux-leather,navy,233
70,36552,Julia,Gates,Julia.Gates@gmail.com,wedges,fabric,white,239
71,52508,Aaron,Maddox,AMaddox1985@gmail.com,sandals,leather,white,241
72,11710,Emily,Montoya,EmilyMontoya68@gmail.com,ballet flats,faux-leather,navy,243
73,38580,Joyce,Castaneda,JC2922@gmail.com,wedges,fabric,white,245
74,84082,Natalie,Chang,Natalie.Chang@outlook.com,wedges,leather,brown,248
75,35391,Ann,Woods,AnnWoods53@gmail.com,sandals,fabric,brown,248
76,39993,Keith,Underwood,KeithUnderwood85@gmail.com,stilettos,fabric,brown,248
77,20450,Kayla,Phelps,KPhelps1980@gmail.com,sandals,leather,navy,248
78,81902,Donald,Hernandez,DHernandez1984@gmail.com,stilettos,leather,red,250
79,57554,Jacob,Gilliam,JacobGilliam19@gmail.com,ballet flats,faux-leather,brown,253
80,45645,Jean,Wilder,JWilder1988@gmail.com,ballet flats,fabric,red,256
81,32796,Paul,Mitchell,Paul.Mitchell@gmail.com,wedges,fabric,white,257
82,56624,Scott,Howell,ScottHowell97@gmail.com,sandals,leather,navy,257
83,33639,Natalie,Gay,NGay1990@gmail.com,ballet flats,leather,red,257
84,24449,Edward,King,Edward.King@gmail.com,wedges,faux-leather,white,258
85,56103,Kathryn,Matthews,Kathryn.Matthews@gmail.com,sandals,faux-leather,navy,259
86,53616,Heather,Burris,Heather.Burris@gmail.com,stilettos,leather,black,263
87,10262,Lawrence,Weiss,Lawrence.Weiss@gmail.com,wedges,faux-leather,white,263
88,52016,Frances,Terrell,FrancesTerrell68@gmail.com,sandals,leather,white,264
89,90077,Michael,Copeland,Michael.Copeland@gmail.com,ballet flats,leather,white,265
90,52033,Jack,Higgins,JHiggins1978@gmail.com,sandals,fabric,navy,265
91,82583,Brian,Carver,Brian.Carver@gmail.com,ballet flats,fabric,white,265
92,71943,Tiffany,Maynard,TM6582@gmail.com,stilettos,fabric,red,266
93,39388,Ashley,Martin,Ashley.Martin@outlook.com,sandals,faux-leather,brown,274
94,17697,Dylan,Short,DylanShort88@gmail.com,stilettos,faux-leather,red,279
95,30400,Doris,Camacho,DorisCamacho9@gmail.com,ballet flats,leather,brown,280
96,74726,Willie,Reese,Willie.Reese@gmail.com,stilettos,faux-leather,brown,284
97,63935,George,Ford,George.Ford@gmail.com,ballet flats,leather,navy,284
98,31134,Aaron,Mcleod,AMcleod1971@gmail.com,stilettos,fabric,brown,286
99,75213,Debra,Mccormick,DMccormick1981@yahoo.com,stilettos,faux-leather,red,288
100,26925,Samantha,Gross,SG3412@gmail.com,wedges,fabric,brown,292
101,59502,Jennifer,Cummings,JC7055@gmail.com,stilettos,fabric,brown,293
